растирать	несов.\nсм. растереть.
дорогой	дорогой I\nнареч. разг.\nжолдо, жолоочулап жүргөндө, жол жүргөндө, жол бою.\nдорогой II,\n­ая, -ое\n1. (дорогостоящий) кымбат;\nэто очень дорогой ковёр бул өтө кымбат килем;\n2. (милый, любимый) кымбаттуу;\nдорогой друг! кымбаттуу дос!;\nдорогой товарищ! кымбаттуу жолдош!;\n3. перен. баалуу, кымбаттуу;\nдорогая победа кымбатка түшкөн жеңиш;\nкаждая минута дорога ар бир минута кымбат.
угнетательский,	­ая, -ое\nугнетатель-ге т.
стратоплан	м.\nстратоплан (стратосферага учууга арналган самолёт).
нис-	приставка\nбул - каткалаң үнсүздөрдүн алдында «низ» дегендин ордуна жазылат.
стихия	ж.\n1. (явление природы) стихия (зор күч болуп көрүнүүчү табият кубулуштары);\nразбушевавшаяся стихия алай-дүлөй түшкөн стихия;\n2. перен. стихия (коомдогу чаржайыт, баш аламан, уюшулбаган күч).
минутка	ж. ласк. от минута 1, 2\nминутка;\nя к тебе на минутку мен сага бир эле минуткага келдим.
убойный,	­ая, -ое\n1. союшка (союуга) арналган;\nубойный скот союшка арналган мал;\n2. воен. (смертоносный) өлтүргүч, кыйраткыч, талкалагыч, ойрондогуч.
перекалиться	сов.\nөтө ысытылуу, ашыра ысытылуу, ашыра кызытылуу.
освободительница	женск. р. к освободитель.
поземица	ж.\nжөө бурганак.
тряпичница	разг.\n1. женск. р. к тряпичник;\n2. ж. пренебр. кийим эле деп калган (аял).
неприязненность	ж.\nдушмандык, кастык.
аэрошкола	ж.\nаэрошкола, авиация мектеби.
зелёный,	­ая, -ое\n1. жашыл, көк;\nзелёный цвет жашыл түс;\nзелёная трава көк чөп;\nзелёный чай көк чай;\n2. (растительный):\nзелёные насаждения тигилген бак-дарак;\n3. (недозрелый) көк, чийки;\nзелёные яблоки көк алма, чийки алма;\nзелёные щи ат кулак кошулуп жасалган щи;\nзелёный юнец боз баш бала;\nзелёная улица ж.-д. жашыл жол (семафордун ачык болуп турушу - жолдун ачык экендигин көрсөтөт);\nзелёное удобрение жашыл семирткич (жерди семиртүү максатында себилип, көгөрүп чыккан өсүмдүктөрдү кайта айдап, чымдын астыңда кажыруу).
